CPU_capacity_provisioned_MHZ,CPU_cores,CPU_usage_%,CPU_usage_MHZ,Disk_read_throughput_KB_per_s,Disk_write_throughput_KB_per_s,Memory_capacity_provisioned_KB,Memory_usage_KB,Network_received_throughput_KB_per_s,Network_transmitted_throughput_KB_per_s,Timestamp_ms
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,20445.6,3.1333333333333333,3.0,1376328647
2925.99956,1,1.6,46.81599296,0.0,1.2666666666666666,260352.0,36348.8,3.733333333333333,3.6,1376329847
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,23590.4,3.0,3.0,1376330447
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,20444.8,4.466666666666667,4.466666666666667,1376330747
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,22542.4,0.7333333333333333,0.7333333333333333,1376331647
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,24464.533333333333,3.333333333333333,3.333333333333333,1376331947
2925.99956,1,1.6666666666666663,48.76665933333334,0.0,1.2666666666666666,260352.0,64311.73333333333,2.6666666666666665,2.6666666666666665,1376332247
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,41766.13333333333,0.2666666666666666,0.2666666666666666,1376332547
2925.99956,1,1.1333333333333333,33.16132834666667,0.0,0.6666666666666666,260352.0,24639.2,1.3333333333333333,1.2,1376332847
2925.99956,1,1.6,46.81599296,0.0,1.2666666666666666,260352.0,41066.66666666666,4.266666666666667,4.2,1376333147
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,39320.0,4.266666666666667,4.266666666666667,1376333447
2925.99956,1,1.1333333333333333,33.16132834666667,0.0,0.6666666666666666,260352.0,24813.866666666665,1.5333333333333334,1.4666666666666666,1376334047
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,29357.866666666665,2.6666666666666665,2.6,1376335847
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,23940.266666666663,2.4,2.4,1376336147
2925.99956,1,1.6,46.81599296,0.0,1.2666666666666666,260352.0,52077.333333333336,0.4,0.3333333333333333,1376336447
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,49280.8,0.8666666666666667,0.8,1376337647
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,24115.2,0.6,0.5333333333333333,1376337947
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,23939.733333333334,1.0666666666666669,0.9333333333333332,1376338248
2925.99956,1,1.0,29.259995600000003,0.0,0.6666666666666666,260352.0,27434.666666666668,1.4666666666666666,1.4,1376339148
